player_id,player_name,yellow_card,second_yellow_card,red_card,total_yellow,total_red,mins_played,position_mapped,redsize
136501,kadeem harris,1,0,0,1,0,365,midfielder,1
13653,john mullin,2,0,0,2,0,717,attacker,1
13658,darren byfield,2,0,0,2,0,160,attacker,1
136589,samba diakité,9,2,0,11,2,1615,midfielder,3
136610,papy djilobodji,4,1,0,5,1,1577,defender,2
13663,steve basham,0,0,0,0,0,341,attacker,1
13664,matthew bound,0,0,0,0,0,179,midfielder,1
136647,charalampos mavrias,0,0,0,0,0,149,defender,1
13675,david oldfield,1,0,0,1,0,754,midfielder,1
13677,matthew robinson,0,0,0,0,0,549,defender,1
13678,andy scott,1,0,0,1,0,1120,attacker,1
1368,guy demel,4,0,0,4,0,5373,defender,1
13683,dean whitehead,47,2,0,49,2,18152,midfielder,3
13696,darren caskey,2,0,0,2,0,2063,midfielder,1
13711,erik nevland,5,0,0,5,0,2023,attacker,1
13713,gareth ainsworth,1,0,0,1,0,527,midfielder,1
13717,clarke carlisle,9,0,0,9,0,2734,defender,1
13721,chris day,1,0,0,1,0,1080,goalkeeper,1
13724,richard edghill,5,2,0,7,2,4708,defender,3
13726,paul furlong,9,0,0,9,0,4265,attacker,1
13727,kevin gallen,2,0,0,2,0,5053,attacker,1
13733,matthew rose,0,0,0,0,0,278,defender,1
13736,danny shittu,3,0,0,3,0,3132,defender,1
137616,okay yokuslu,1,0,0,1,0,529,midfielder,1
137669,jason davidson,0,0,0,0,0,102,defender,1
137745,marçal,2,0,0,2,0,613,defender,1
13778,vince bartram,0,0,0,0,0,990,goalkeeper,1
13779,chris black,0,0,0,0,0,130,midfielder,1
13781,matt clarke,4,0,0,4,0,3663,goalkeeper,1
13784,neil cox,20,0,1,20,1,11456,defender,2
13787,dougie freedman,1,0,0,1,0,2972,attacker,1
13788,jonathan gould,0,0,0,0,0,2250,goalkeeper,1
13789,danny granville,11,1,0,12,1,6184,defender,2
13790,paul heald,0,1,0,1,1,1966,goalkeeper,2
13792,dean holdsworth,29,1,1,30,2,15930,attacker,3
13794,tommy johnson,11,0,0,11,0,3718,attacker,1
13796,grant leadbitter,10,0,0,10,0,4483,midfielder,1
13798,gavin mahon,7,0,0,7,0,2938,midfielder,1
13799,scott mcdonald,0,0,0,0,0,27,attacker,1
13800,simon osborn,0,0,0,0,0,2949,midfielder,1
13801,neil shipperley,5,0,0,5,0,10947,attacker,1
13803,rod wallace,25,0,0,25,0,14703,attacker,1
13806,karl-heinz riedle,8,0,0,8,0,3316,attacker,1
13829,diego lugano,2,0,0,2,0,658,defender,1
138335,jakob haugaard,0,0,0,0,0,404,goalkeeper,1
138385,peter beagrie,16,0,0,16,0,11731,attacker,1
13847,éric roy,2,0,0,2,0,1697,midfielder,1
138630,franck rolling,0,0,0,0,0,75,defender,1
13878,ákos buzsáky,0,0,0,0,0,897,midfielder,1
13886,henrique hilário,0,0,0,0,0,1684,goalkeeper,1
139093,christian edwards,1,0,0,1,0,868,defender,1
13918,john oster,6,1,0,7,1,4856,midfielder,2
139208,virgil van dijk,9,1,0,10,1,14343,defender,2
139503,enner valencia,4,0,0,4,0,4030,attacker,1
13966,dominic foley,0,0,0,0,0,433,attacker,1
1397,michael owen,8,1,0,9,1,23016,attacker,2
13979,ashkan dejagah,8,0,0,8,0,2495,attacker,1
13982,patrick agyemang,0,0,0,0,0,145,attacker,1
13983,graham alexander,3,0,0,3,0,2745,defender,1
13984,trond andersen,4,0,0,4,0,3092,defender,1
13985,neal ardley,6,0,0,6,0,12781,midfielder,1
13992,tommy black,0,0,0,0,0,4,midfielder,1
13993,gary borrowdale,0,0,0,0,0,273,defender,1
13994,lee briscoe,4,0,0,4,0,4481,defender,1
13995,marlon broomes,4,0,1,4,1,1134,defender,2
13996,wayne brown,0,0,0,0,0,174,defender,1
13997,danny butterfield,2,0,0,2,0,549,defender,1
14000,alec chamberlain,0,0,0,0,0,2430,goalkeeper,1
14001,ian cox,0,0,0,0,0,282,defender,1
14002,richard cresswell,10,0,0,10,0,2518,attacker,1
14003,andrew crofts,3,0,0,3,0,1288,midfielder,1
14006,claude davis,5,1,1,6,2,3031,defender,3
14007,shaun derry,8,0,1,8,1,3413,midfielder,2
14008,lloyd doyley,2,0,0,2,0,1617,defender,1
14009,bruce dyer,5,0,0,5,0,2560,attacker,1
14010,neil emblen,3,0,0,3,0,702,midfielder,1
14011,dickson etuhu,15,0,0,15,0,7408,midfielder,1
14013,matty fryatt,0,0,0,0,0,216,attacker,1
14014,ricardo fuller,29,0,2,29,2,7457,attacker,3
14017,wayne gray,0,0,0,0,0,9,attacker,1
140191,ryan fredericks,14,0,0,14,0,3772,defender,1
14020,danny hay,0,0,0,0,0,388,defender,1
14021,david healy,3,0,0,3,0,1567,attacker,1
14023,john hills,0,0,0,0,0,104,defender,1
14024,darren holloway,3,0,0,3,0,1192,defender,1
14026,michael hughes,27,0,0,27,0,15980,midfielder,1
14027,micah hyde,5,0,1,5,1,2908,midfielder,2
1403,taribo west,3,0,0,3,0,1620,defender,1
14030,albert jarrett,0,0,0,0,0,19,midfielder,1
14031,andy johnson,13,1,0,14,1,13999,attacker,2
14033,richard johnson,3,0,0,3,0,1806,midfielder,1
14037,marlon king,3,0,0,3,0,4275,attacker,1
14039,jamie lawrence,7,0,0,7,0,4485,attacker,1
140391,bernard allou,0,0,0,0,0,32,attacker,1
14040,richard lee,0,0,0,0,0,854,goalkeeper,1
14041,mikele leigertwood,9,0,0,9,0,5617,midfielder,1
14045,chris lucketti,0,0,0,0,0,662,defender,1
14047,jobi mcanuff,5,0,0,5,0,3274,attacker,1
14049,anthony mcnamee,0,0,0,0,0,346,midfielder,1
14050,tyrone mears,10,0,0,10,0,5733,defender,1
14052,hayden mullins,14,0,1,14,1,11162,midfielder,2
14054,nyron nosworthy,14,0,0,14,0,6883,defender,1
14056,david perpetuini,4,0,0,4,0,971,defender,1
140579,josip drmic,0,0,1,0,1,634,attacker,2
14058,anthony popovic,4,0,0,4,0,1841,defender,1
14059,darren powell,0,0,0,0,0,437,defender,1
14060,nigel reo-coker,40,1,0,41,1,16582,midfielder,2
14062,aki riihilahti,4,0,0,4,0,2277,midfielder,1
14063,paul robinson,45,0,1,45,1,17729,defender,2
14066,wayne routledge,12,0,1,12,1,19314,attacker,2
14068,paul shaw,0,0,0,0,0,273,attacker,1
14069,mamady sidibé,1,0,0,1,0,2911,attacker,1
1407,davor suker,9,0,0,9,0,1578,attacker,1
14073,jamie smith,0,1,0,1,1,1457,defender,2
14074,nicky southall,1,0,0,1,0,1004,midfielder,1
14080,paolo vernazza,0,0,0,0,0,213,midfielder,1
14081,ben watson,15,0,1,15,1,9714,midfielder,2
14086,ashley young,70,1,1,71,2,29451,midfielder,3
14103,douala,0,0,0,0,0,223,attacker,1
141044,ian feuer,1,0,0,1,0,450,goalkeeper,1
141047,ronny rosenthal,7,0,0,7,0,6884,attacker,1
141349,liam o'neil,0,0,0,0,0,15,midfielder,1
14162,adie moses,8,0,0,8,0,2914,defender,1
14165,david wright,1,0,0,1,0,787,midfielder,1
141650,larnell cole,0,0,0,0,0,10,midfielder,1
141655,zeki fryers,0,0,0,0,0,647,defender,1
141660,jesse lingard,16,0,0,16,0,8064,midfielder,1
14168,dean ashton,0,0,0,0,0,4345,attacker,1
14175,allan smart,1,0,0,1,0,1060,attacker,1
14177,luke varney,0,0,0,0,0,2042,attacker,1
14178,david vaughan,11,1,0,12,1,5525,midfielder,2
14183,rob lee,36,1,0,37,1,23608,midfielder,2
141835,álvaro vázquez,0,0,0,0,0,408,attacker,1
1419,rigobert song,10,0,0,10,0,4422,defender,1
14203,pelé,0,0,0,0,0,143,defender,1
14221,aaron lennon,19,0,0,19,0,26432,attacker,1
1423,lars jacobsen,0,0,0,0,0,3388,defender,1
142310,willy boly,4,1,1,5,2,6679,defender,3
142511,pal lydersen,0,0,0,0,0,590,defender,1
14259,antolín alcaraz,14,2,0,16,2,6913,defender,3
14270,andré bikey,13,1,0,14,1,4375,defender,2
14333,marco almeida,0,0,0,0,0,19,defender,1
143424,alex oxlade-chamberlain,10,0,0,10,0,9581,midfielder,1
14348,paulo alves,0,0,0,0,0,31,attacker,1
143559,matija nastasic,5,0,0,5,0,2849,defender,1
143741,david smith,1,0,0,1,0,959,midfielder,1
14387,clyde wijnhard,5,0,0,5,0,971,attacker,1
1440,uwe rösler,15,1,0,16,1,7517,attacker,2
144028,leandro trossard,2,0,0,2,0,4007,attacker,1
